Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGamePPR,FantasyPointsPPR
1013,Ben Skowronek,LAR,WR,14,0,0,0,0,0,11,133,0,0,0,0,0,1.7,24.3
1014,Jordan Elliott,CLE,DT,16,0,0,0,0,0,0,0,0,0.5,0,0,0,1.5,24.2
1015,Garret Wallow,HOU,LB,17,0,0,0,0,0,0,0,0,1,0,0,0,1.4,24.1
1015,Jacob Phillips,CLE,LB,4,0,0,0,0,0,0,0,0,1,0,0,0,6,24.1
1017,Cooper Rush,DAL,QB,5,422,3,1,-8,0,0,0,0,0,0,0,0,4.8,24.08
1018,Corey Peters,ARI,DT,14,0,0,0,0,0,0,0,0,0,0,0,1,1.7,24
1018,Shaquille Quarterman,JAX,LB,17,0,0,0,0,0,0,0,0,0,0,0,0,1.4,24
1018,Joejuan Williams,NE,CB,12,0,0,0,0,0,0,0,0,0,0,0,0,2,24
1018,Travin Howard,LAR,ILB,12,0,0,0,0,0,0,0,0,0,1,0,0,2,24
1018,Geno Stone,BAL,S,15,0,0,0,0,0,0,0,0,0,1,0,0,1.6,24
1018,Benardrick McKinney,NYG,ILB,11,0,0,0,0,0,0,0,0,0,0,0,0,2.2,24
1024,Joe Flacco,NYJ,QB,2,338,3,0,3,0,0,0,0,0,0,0,0,11.9,23.82
1025,Trent Sherfield,SF,WR,17,0,0,0,0,0,9,87,1,0,0,0,2,1.4,23.7
1026,Jonathan Jones,NE,CB,6,0,0,0,0,0,0,0,0,0,1,0,0,3.9,23.5
1027,Jalen Richard,LV,RB,10,0,0,0,40,0,12,72,0,0,0,0,0,2.3,23.2
1028,Steve McLendon,TB,NT,12,0,0,0,0,0,0,0,0,0.5,1,1,0,1.9,23.15
1029,Tarron Jackson,PHI,DE,17,0,0,0,0,0,0,0,0,1,0,1,0,1.4,23.1
1030,Raekwon Davis,MIA,DT,14,0,0,0,0,0,0,0,0,0.5,0,0,0,1.6,23.05
1031,Tyeler Davison,ATL,DT,12,0,0,0,0,0,0,0,0,0,0,0,0,1.9,23
1031,Jaleel Johnson,HOU,DT,12,0,0,0,0,0,0,0,0,0,0,0,1,1.9,23
1031,Danny Johnson,WAS,CB,12,0,0,0,0,0,0,0,0,0,0,1,0,1.9,23
1031,Adam Shaheen,MIA,TE,12,0,0,0,0,0,12,110,0,0,0,0,0,1.9,23
1035,T.J. Slaton,GB,DL,17,0,0,0,0,0,0,0,0,1,0,0,0,1.4,22.95
1036,Henry Mondeaux,PIT,DL,15,0,0,0,0,0,0,0,0,2,0,0,1,1.5,22.9
1037,Clelin Ferrell,LV,DE,16,0,0,0,0,0,0,0,0,1.5,0,0,0,1.4,22.8
1038,Nick Niemann,LAC,LB,17,0,0,0,0,0,0,0,0,0,1,0,0,1.3,22.5
1038,Clay Johnston,CIN,LB,13,0,0,0,0,0,0,0,0,0,0,1,0,1.7,22.5
1038,Ifeatu Melifonwu,DET,S,7,0,0,0,0,0,0,0,0,0,0,0,2,3.2,22.5
1038,Zaven Collins,ARI,ILB,17,0,0,0,0,0,0,0,0,0,0,0,0,1.3,22.5
1038,Robert Rochell,LAR,DB,11,0,0,0,0,0,0,0,0,0,1,0,1,2,22.5
1038,Malcolm Brown,MIA,RB,7,0,0,0,125,1,3,10,0,0,0,0,0,3.2,22.5
1044,Kaden Elliss,NO,LB,13,0,0,0,0,0,0,0,0,1,0,0,1,1.7,22.3
1045,Tony Jones Jr.,NO,RB,11,0,0,0,142,0,5,29,0,0,0,0,0,2,22.1
1046,Daniel Thomas,JAX,S,16,0,0,0,0,0,0,0,0,0,0,0,0,1.4,22
1047,Joe Jackson,CLE,DE,12,0,0,0,0,0,0,0,0,1.5,0,0,0,1.8,21.9
1048,Jody Fortson,KC,TE,6,0,0,0,0,0,5,47,2,0,0,0,0,3.6,21.7
1049,Cam Sample,CIN,DE,14,0,0,0,0,0,0,0,0,1.5,0,0,0,1.5,21.6
1049,Kylen Granson,IND,TE,17,0,0,0,0,0,11,106,0,0,0,0,0,1.3,21.6
1051,Leki Fotu,ARI,DT,17,0,0,0,0,0,0,0,0,0,0,1,0,1.3,21.5
